"user_id","user_id_str","followers_count","friends_count","listed_count","favourites_count","statuses_count","total_tweets","covid_tweets","covid_pct","is_covid"
1923294468,"1923294468",3772,2002,59,1599,2473,147,1,0.006802721088435374,True
19283496,"19283496",2321,1859,42,11771,23979,719,38,0.05285118219749652,True
207656781,"207656781",3823,1112,34,839,1666,294,2,0.006802721088435374,True
208447323,"208447323",403,520,11,32,994,82,2,0.024390243902439025,True
208487242,"208487242",174,359,8,3,732,41,0,0.0,False
210870282,"210870282",2571,4030,9,94,9015,455,10,0.02197802197802198,True
212910468,"212910468",60,236,3,2,94,1,0,0.0,False
213131653,"213131653",3703,2952,26,24689,8771,999,6,0.006006006006006006,True
21322528,"21322528",200,503,3,3,36,1,0,0.0,False
21425656,"21425656",994,582,17,374,568,3,0,0.0,False
21641852,"21641852",814,619,7,892,160,11,1,0.09090909090909091,True
2180560236,"2180560236",622,666,8,4276,1342,53,2,0.03773584905660377,True
2195610588,"2195610588",1355,1315,24,1723,1115,50,1,0.02,True
22036901,"22036901",3709,728,55,15644,36286,1118,47,0.04203935599284436,True
2219561426,"2219561426",873,511,13,316,2102,47,3,0.06382978723404255,True
2235109416,"2235109416",3418,3364,72,4800,3359,65,1,0.015384615384615385,True
2249283007,"2249283007",502,1331,5,11426,1064,11,0,0.0,False
226737674,"226737674",756,2047,1,27,71,2,0,0.0,False
2292871015,"2292871015",515,832,2,475,492,2,0,0.0,False
2296138922,"2296138922",938,2672,1008,281,13226,166,3,0.018072289156626505,True
2312779579,"2312779579",626,243,4,486,674,66,3,0.045454545454545456,True
2340094380,"2340094380",2208,3931,16,150,472,128,1,0.0078125,True
2340289856,"2340289856",389,511,2,142,2925,337,3,0.008902077151335312,True
2342402262,"2342402262",68,60,2,3285,43,5,0,0.0,False
2375018690,"2375018690",417,1023,3,131,894,1,0,0.0,False
2381944874,"2381944874",2786,1093,48,5846,1712,214,1,0.004672897196261682,True
2383778930,"2383778930",84,181,1,99,84,2,0,0.0,False
239448394,"239448394",685,1495,4,1459,176,8,0,0.0,False
2415763086,"2415763086",1036,167,18,370,6529,451,108,0.2394678492239468,True
241883870,"241883870",1354,258,20,31,3209,8,0,0.0,False
2430559400,"2430559400",299,447,17,787,1027,18,0,0.0,False
2431952268,"2431952268",1173,2417,5,0,1702,210,2,0.009523809523809525,True
2432108520,"2432108520",566,188,39,0,289867,656,21,0.03201219512195122,True
2435670734,"2435670734",467,1150,10,738,317,7,0,0.0,False
2463262202,"2463262202",1066,1099,10,4081,3463,31,1,0.03225806451612903,True
24734764,"24734764",696,2266,13,241,4925,644,6,0.009316770186335404,True
24742083,"24742083",4409,3618,93,4118,5320,366,3,0.00819672131147541,True
2485273795,"2485273795",3000,138,15,150,6362,727,22,0.030261348005502064,True
2507067248,"2507067248",436,373,23,2947,864,2,0,0.0,False
25261038,"25261038",2767,2615,73,352,2063,15,0,0.0,False
255065961,"255065961",456,1870,1,1121,3892,1,0,0.0,False
256012398,"256012398",2221,1398,33,937,15589,2563,112,0.04369879047990636,True
2563628803,"2563628803",504,716,3,42,793,5,0,0.0,False
256940316,"256940316",949,557,12,2388,17818,1794,28,0.01560758082497213,True
2578865498,"2578865498",91,955,1,134,143,114,0,0.0,False
260885221,"260885221",188,57,1,1,1269,2,0,0.0,False
261153946,"261153946",402,191,8,89,333,6,2,0.3333333333333333,True
264179754,"264179754",22,79,0,19,87,5,0,0.0,False
2694896014,"2694896014",4950,3640,27,116967,10803,3249,8,0.0024622960911049553,True
26991913,"26991913",2746,1739,69,1970,7072,162,6,0.037037037037037035,True
2734377140,"2734377140",2010,52,9,2793,2484,212,1,0.0047169811320754715,True
2735949277,"2735949277",834,640,5,499,3883,782,62,0.0792838874680307,True
274499284,"274499284",1594,259,19,758,2064,491,15,0.03054989816700611,True
27633558,"27633558",4797,2730,42,1175,2418,96,4,0.041666666666666664,True
276578380,"276578380",4700,1283,34,45486,10042,408,6,0.014705882352941176,True
27861988,"27861988",686,1461,16,1243,1905,1,0,0.0,False
278898431,"278898431",4203,3753,52,9515,27345,3182,159,0.04996857322438718,True
279161803,"279161803",259,88,1,96,458,28,0,0.0,False
2797826009,"2797826009",310,456,5,123,947,68,1,0.014705882352941176,True
2799641135,"2799641135",1570,1441,20,596,41,39,0,0.0,False
280924536,"280924536",3430,1389,41,5710,18906,46,2,0.043478260869565216,True
2814872444,"2814872444",2283,351,25,946,5412,468,10,0.021367521367521368,True
281715535,"281715535",1099,542,10,522,1474,122,0,0.0,False
2817366130,"2817366130",1856,435,93,797,3849,7,0,0.0,False
28423426,"28423426",591,473,24,255,1408,7,1,0.14285714285714285,True
284496017,"284496017",2255,1048,32,1578,4263,2,0,0.0,False
2870235263,"2870235263",181,521,2,660,286,4,0,0.0,False
2870359030,"2870359030",1837,1599,38,28618,1171,219,1,0.0045662100456621,True
29022030,"29022030",1459,1419,29,64276,21588,3178,154,0.048458149779735685,True
290504328,"290504328",1228,2321,2,2,1880,11,0,0.0,False
293061826,"293061826",3743,1846,51,2682,6428,5,0,0.0,False
2971827653,"2971827653",4719,4402,119,75065,26161,215,0,0.0,False
2976668837,"2976668837",4766,383,23,1222,483,132,18,0.13636363636363635,True
3001688662,"3001688662",390,1445,16,912,484,1,0,0.0,False
300498559,"300498559",203,277,10,1373,1385,94,6,0.06382978723404255,True
3049972011,"3049972011",1901,3653,20,4657,2748,1528,98,0.06413612565445026,True
3060314563,"3060314563",71,105,0,907,102,2,0,0.0,False
306097067,"306097067",3157,52,28,9288,14818,3242,90,0.027760641579272053,True
306133325,"306133325",539,1301,8,8,1065,1,0,0.0,False
307257475,"307257475",138,335,8,404,3663,104,5,0.04807692307692308,True
3077262690,"3077262690",776,1096,34,677,761,1,0,0.0,False
3092547670,"3092547670",910,3109,0,1446,992,72,4,0.05555555555555555,True
3102135736,"3102135736",1434,2011,73,393,4553,17,0,0.0,False
3120775190,"3120775190",1345,1283,15,69,650,48,0,0.0,False
3131331021,"3131331021",1191,929,45,828,1272,4,0,0.0,False
3202346627,"3202346627",151,301,8,349,331,109,2,0.01834862385321101,True
3213948753,"3213948753",263,195,2,21,223,14,0,0.0,False
3236026930,"3236026930",618,942,14,143,369,7,2,0.2857142857142857,True
32363034,"32363034",1196,2603,57,5022,2847,94,3,0.031914893617021274,True
324243627,"324243627",2424,3896,34,466,1022,6,0,0.0,False
3246174526,"3246174526",1333,4562,7,71,76,5,0,0.0,False
32630550,"32630550",375,853,19,917,1759,37,0,0.0,False
326931321,"326931321",2157,241,32,1372,3857,3,0,0.0,False
32836658,"32836658",413,477,11,922,630,23,0,0.0,False
3289832331,"3289832331",1061,870,14,10835,2567,251,4,0.01593625498007968,True
32909787,"32909787",1135,490,68,2626,8256,5,0,0.0,False
3301699120,"3301699120",274,986,1,211,434,9,0,0.0,False
33493330,"33493330",821,939,1,1723,1965,189,27,0.14285714285714285,True
3418377785,"3418377785",1010,998,4,129,334,16,1,0.0625,True
34261344,"34261344",431,1503,20,5622,3288,246,3,0.012195121951219513,True
34283575,"34283575",741,1592,2,14388,3094,269,5,0.01858736059479554,True
34302267,"34302267",1275,150,14,84,6572,20,0,0.0,False
35742332,"35742332",448,209,13,26,547,2,0,0.0,False
359980586,"359980586",377,343,9,163,1472,1,0,0.0,False
36023434,"36023434",2899,913,97,1726,14109,32,0,0.0,False
36046644,"36046644",1992,0,13,50,73290,3250,296,0.09107692307692308,True
360564115,"360564115",151,593,0,5,41,17,1,0.058823529411764705,True
364184512,"364184512",328,136,6,1076,2168,130,0,0.0,False
36763662,"36763662",1666,4426,55,31,4258,1,0,0.0,False
37274585,"37274585",3604,3112,48,83999,66825,3240,54,0.016666666666666666,True
37629519,"37629519",1431,1217,54,1057,7093,165,7,0.04242424242424243,True
379734793,"379734793",39,441,0,120,8,2,1,0.5,True
380161553,"380161553",852,456,13,65,510,104,2,0.019230769230769232,True
380346519,"380346519",273,189,15,78,3665,105,0,0.0,False
38165901,"38165901",576,179,13,15,208,1,0,0.0,False
38935543,"38935543",954,1687,6,30,4891,36,2,0.05555555555555555,True
389919680,"389919680",614,568,21,542,1819,169,7,0.04142011834319527,True
39058155,"39058155",639,4177,3,313,48,1,0,0.0,False
