source,target,edge_dttm
2254799006,3049972011,2022-06-22 21:04:28.083402+00:00
2254799006,380600484,2022-06-22 21:04:28.083402+00:00
1240252237496139776,380600484,2022-06-22 21:04:28.083402+00:00
414638444,380600484,2022-06-22 21:04:28.083402+00:00
193347966,380600484,2022-06-22 21:04:28.083402+00:00
492421400,380600484,2022-06-22 21:04:28.083402+00:00
728544613947019264,380600484,2022-06-22 21:04:28.083402+00:00
759086769878994944,380600484,2022-06-22 21:04:28.083402+00:00
4084752742,380600484,2022-06-22 21:04:28.083402+00:00
3049972011,380600484,2022-06-22 21:04:28.083402+00:00
109592592,380600484,2022-06-22 21:04:28.083402+00:00
213131653,380600484,2022-06-22 21:04:28.083402+00:00
132932087,3996860741,2022-06-22 21:04:28.083402+00:00
213131653,4084752742,2022-06-22 21:04:28.083402+00:00
492421400,4084752742,2022-06-22 21:04:28.083402+00:00
1240252237496139776,4084752742,2022-06-22 21:04:28.083402+00:00
2254799006,4084752742,2022-06-22 21:04:28.083402+00:00
728544613947019264,4084752742,2022-06-22 21:04:28.083402+00:00
771543750,4084752742,2022-06-22 21:04:28.083402+00:00
3049972011,4084752742,2022-06-22 21:04:28.083402+00:00
81674268,4084752742,2022-06-22 21:04:28.083402+00:00
380600484,4084752742,2022-06-22 21:04:28.083402+00:00
1240252237496139776,414638444,2022-06-22 21:04:28.083402+00:00
380600484,414638444,2022-06-22 21:04:28.083402+00:00
414638444,492421400,2022-06-22 21:04:28.083402+00:00
213131653,492421400,2022-06-22 21:04:28.083402+00:00
2254799006,492421400,2022-06-22 21:04:28.083402+00:00
1240252237496139776,492421400,2022-06-22 21:04:28.083402+00:00
771543750,492421400,2022-06-22 21:04:28.083402+00:00
132932087,492421400,2022-06-22 21:04:28.083402+00:00
380600484,492421400,2022-06-22 21:04:28.083402+00:00
728544613947019264,492421400,2022-06-22 21:04:28.083402+00:00
759086769878994944,492421400,2022-06-22 21:04:28.083402+00:00
3049972011,492421400,2022-06-22 21:04:28.083402+00:00
4084752742,492421400,2022-06-22 21:04:28.083402+00:00
2254799006,728544613947019264,2022-06-22 21:04:28.083402+00:00
1240252237496139776,728544613947019264,2022-06-22 21:04:28.083402+00:00
3049972011,728544613947019264,2022-06-22 21:04:28.083402+00:00
492421400,728544613947019264,2022-06-22 21:04:28.083402+00:00
380600484,728544613947019264,2022-06-22 21:04:28.083402+00:00
132932087,728544613947019264,2022-06-22 21:04:28.083402+00:00
759086769878994944,728544613947019264,2022-06-22 21:04:28.083402+00:00
1240252237496139776,759086769878994944,2022-06-22 21:04:28.083402+00:00
2254799006,759086769878994944,2022-06-22 21:04:28.083402+00:00
492421400,759086769878994944,2022-06-22 21:04:28.083402+00:00
3049972011,759086769878994944,2022-06-22 21:04:28.083402+00:00
728544613947019264,759086769878994944,2022-06-22 21:04:28.083402+00:00
380600484,759086769878994944,2022-06-22 21:04:28.083402+00:00
132932087,759086769878994944,2022-06-22 21:04:28.083402+00:00
492421400,771543750,2022-06-22 21:04:28.083402+00:00
3049972011,771543750,2022-06-22 21:04:28.083402+00:00
728544613947019264,771543750,2022-06-22 21:04:28.083402+00:00
4084752742,771543750,2022-06-22 21:04:28.083402+00:00
213131653,771543750,2022-06-22 21:04:28.083402+00:00
1240252237496139776,81674268,2022-06-22 21:04:28.083402+00:00
219350809,90038295,2022-06-22 21:04:28.083402+00:00
