user_id,location,screen_name,name,statuses_count,friends_count,followers_count,description,created_at,verified,protected
1037083000998121472,Vinkovci,Bunjevac_Vk,Bunjevac Vk,353,155,22,,Tue Sep 04 21:00:30 +0000 2018,False,False
153753475,Osijek,ivan_doric,Ivan Dorić,4247,203,959,Front-end developer at @cobe_tech. And making tutorials for @WatchLearnTuts,Wed Jun 09 10:50:25 +0000 2010,False,False
1092585870,Croatia ❤❤,Martaspanec,Martha_Spanˇˇ.*,36,196,51,"Hello❤ SmilE, today was a bad day, but not a bad life;) #optimistic #cute as sugar",Tue Jan 15 16:36:47 +0000 2013,False,False
414836239,Republic of Croatia,cokolina_lina,Cokolina,553,265,231,,Thu Nov 17 15:07:05 +0000 2011,False,False
843835027,"Zagreb, Croatia",theMarioMiler,Mario Miler,260,177,87,"Research assistant, Department of Geoinformation Science, University of Zagreb / Geospatial Technology Enthusiast",Mon Sep 24 15:55:51 +0000 2012,False,False
259633435,"Rijeka, Croatia",Rusty1281,Luka Manestar,5789,277,131,"#Plex junkie, love #macOS, #Synology #NAS, and self-hosting. Moderator at https://t.co/3g4XaEdhXi. Owner of https://t.co/fqMP4WQo4W and https://t.co/BVNIfAOGWf",Wed Mar 02 08:20:36 +0000 2011,False,False
3436665761,Zagreb,azbsipalma,AZBSI Palma,14,44,17,AZBSI ''Palma'' je amaterski zbor sastavljen pretežno od studenata/vjernika s ciljem glazbenog oblikovanja liturgije u matičnoj crkvi.,Sun Aug 23 12:43:50 +0000 2015,False,False
517892774,"Split, Croatia",rakiticishot,luce solic,366,447,99,I've learned sooo much from my mistakes.. I'm thinking of making some more ;-),Wed Mar 07 20:00:10 +0000 2012,False,False
2477835433,zagreb,Tea20919583,Tea,8,60,14,,Mon May 05 04:41:57 +0000 2014,False,False
189061052,"Zagreb , Croatia",BlackAngel0601,Petra Black Angel Stojaković,105,365,62,The more I get to know you the more I love/hate you. Your choice.,Fri Sep 10 08:20:13 +0000 2010,False,False
231112139,"Osijek, Croatia",bikemyday,BikeMyDay,1017,94,363,Promoviramo biciklisticku kulturu od 1975.!,Mon Dec 27 16:42:57 +0000 2010,False,False
37629519,Croatia,kisasondi,Tonimir Kisasondi,7085,1253,1410,"Security Researcher and co-founder of @apaturasecurity a boutique infosec consultancy; PhD; Former assistant professor; AppSec, testing and architecture",Mon May 04 09:46:05 +0000 2009,False,False
276579940,Varaždin,Karlalalalalaa,Karla:),0,50,6,"Hello:)
I am Karla,i live in Croatia,I'm 15 years old:)",Sun Apr 03 17:08:01 +0000 2011,False,False
522482537,Zagreb,nepredvidljivi,TheDoctor,591,595,309,,Mon Mar 12 18:40:15 +0000 2012,False,False
114224625,"Zagreb, Croatia",RockmarkZg,Rockmark,2030,186,1406,"Prva glazbena knjižara u Hrvatskoj - 
Ulica Hrvatske bratske zajednice 4, Zagreb",Sun Feb 14 16:11:52 +0000 2010,False,False
828707442,Croatia,LorenaSkrbic,Here For Justin,484,571,166,Belieber and big fan of One Direction,Mon Sep 17 09:27:19 +0000 2012,False,False
3417459315,Republic of Croatia,anteperisa99,Ante Periša,1,0,361,,Wed Aug 12 10:13:59 +0000 2015,False,False
3238967410,Republic of Croatia,BegonjaIvan,Ivan Begonja,470,854,59,🏀💯,Wed May 06 14:00:01 +0000 2015,False,False
467503476,Croatia,LaraIsBelieber,Lara Juretić,1851,919,691,"My dream? It's meet @JustinBieber! I know that this is impossible, but I believe in my dreams.Follow me. :)",Wed Jan 18 14:57:44 +0000 2012,False,False
214167672,Hrvatska,posquacchera,posquacchera,14,23,6,Crvena kemijska i caffè corretto.,Wed Nov 10 18:52:34 +0000 2010,False,False
2870235263,Šibenik,SI16ZAVJET,Željko Koloper,283,493,181,Producer at HNK Šibenik,Mon Nov 10 07:36:42 +0000 2014,False,False
2893511188,🇨🇦 & 🏴󠁧󠁢󠁷󠁬󠁳󠁿,VancityReynolds,Ryan Reynolds,2795,1133,18857387,owner: @aviationgin - @MintMobile - @maximumeffort - @Wrexham_AFC,Wed Nov 26 16:12:27 +0000 2014,True,False
27042513,Sydney ,RealHughJackman,Hugh Jackman,4111,24,14665937,,Fri Mar 27 16:45:10 +0000 2009,True,False
