user_id,username,tweets_collectted_at,location,followers,friends,statuses,last_time_check,failed
1138457683634348032,15kslut,-1,Republic of Croatia,53,50,254,-1,True
357743128,1610lina,2020-11-27 12:56:14.593992,Zagreb,7,21,2,-1,False
1076153536466042752,1629WRLD,2020-11-27 12:56:20.075658,🇭🇷,2537,2531,3238,-1,False
3325812755,16c73675f9f540d,2020-11-27 12:56:21.916041,Republic of Croatia,6,144,1,-1,False
471934425,1717Chriss,2020-11-27 12:56:22.946869,Croatia,2,28,1,-1,False
4248997168,177_385,2020-11-27 12:56:23.939881,Split,2,7,1,-1,False
630109195,17Rockn,2020-11-27 12:56:25.931345,Croatia,2,9,0,-1,False
900033375704162304,17c439a92b8347e,2020-11-27 00:29:39.423105,Republic of Croatia,56,483,40,2020-11-15 04:14:05.197156,False
2429518454,17luna11,2020-11-27 12:56:27.349852,Zg,38,73,362,-1,False
3119968794,191a3332a77d496,2020-11-27 12:56:29.719528,Republic of Croatia,7,37,8,-1,False
3288211437,1950Lorena,2020-11-27 12:56:31.786196,Croatia,5,28,0,-1,False
2778784699,1967color,2020-11-27 12:56:32.751144,Split,4,59,2,-1,False
304835843,1972Boren,2020-11-27 12:56:35.532191,Croatia,13,32,20,-1,False
91664270,1980TINA,-1,Croatia,8,74,0,-1,True
3439309895,1981kbf,2020-11-27 12:56:36.503729,Republic of Croatia,1,6,3,-1,False
33863578,1982Ivana,-1,"Split, Croatia",4,52,35,2020-11-17 14:37:09.282712,True
2962731322,1985Nz,2020-11-27 12:56:37.831392,Republic of Croatia,40,9,3422,-1,False
703111730,1998Nana123,2020-11-27 12:56:39.046730,Croatia ,45,238,86,-1,False
3370607285,19anamarija71,2020-11-27 12:56:42.629221,Zagreb,6,108,6,-1,False
4126603149,19dalt76,2020-11-27 12:56:44.627782,"Zagreb, Republic of Croatia",5,21,39,2020-11-18 08:57:39.591447,False
467582250,19hana97,2020-11-27 12:56:45.947587,Croatia,115,398,369,-1,False
