id,total_tweets,covid_tweets,is_covid,covid_pct,covid,non_covid,covid_group
107,11,3.0,True,0.2727272727272727,1,0,rijetko
108,11,3.0,True,0.2727272727272727,1,0,rijetko
109,522,140.0,True,0.2681992337164751,1,0,rijetko
110,131,35.0,True,0.267175572519084,1,0,rijetko
111,50,13.0,True,0.26,1,0,rijetko
112,85,22.0,True,0.25882352941176473,1,0,rijetko
113,666,171.0,True,0.25675675675675674,1,0,rijetko
114,552,139.0,True,0.25181159420289856,1,0,rijetko
115,608,153.0,True,0.25164473684210525,1,0,rijetko
116,3120,781.0,True,0.2503205128205128,1,0,rijetko
117,8,2.0,True,0.25,1,0,rijetko
118,8,2.0,True,0.25,1,0,rijetko
119,8,2.0,True,0.25,1,0,rijetko
120,8,2.0,True,0.25,1,0,rijetko
121,24,6.0,True,0.25,1,0,rijetko
122,8,2.0,True,0.25,1,0,rijetko
123,8,2.0,True,0.25,1,0,rijetko
124,16,4.0,True,0.25,1,0,rijetko
125,16,4.0,True,0.25,1,0,rijetko
126,257,62.0,True,0.2412451361867705,1,0,rijetko
127,898,216.0,True,0.2405345211581292,1,0,rijetko
128,25,6.0,True,0.24,1,0,rijetko
130,841,200.0,True,0.2378121284185493,1,0,rijetko
131,30,7.0,True,0.2333333333333333,1,0,rijetko
132,86,20.0,True,0.2325581395348837,1,0,rijetko
133,82,19.0,True,0.23170731707317074,1,0,rijetko
134,13,3.0,True,0.2307692307692308,1,0,rijetko
135,39,9.0,True,0.2307692307692308,1,0,rijetko
136,182,42.0,True,0.2307692307692308,1,0,rijetko
137,215,49.0,True,0.2279069767441861,1,0,rijetko
138,88,20.0,True,0.2272727272727273,1,0,rijetko
139,553,125.0,True,0.22603978300180835,1,0,rijetko
140,116,26.0,True,0.2241379310344828,1,0,rijetko
141,67,15.0,True,0.22388059701492533,1,0,rijetko
142,18,4.0,True,0.2222222222222222,1,0,rijetko
144,9,2.0,True,0.2222222222222222,1,0,rijetko
145,9,2.0,True,0.2222222222222222,1,0,rijetko
146,18,4.0,True,0.2222222222222222,1,0,rijetko
147,759,167.0,True,0.22002635046113306,1,0,rijetko
148,453,99.0,True,0.2185430463576159,1,0,rijetko
149,23,5.0,True,0.21739130434782608,1,0,rijetko
150,23,5.0,True,0.21739130434782608,1,0,rijetko
152,23,5.0,True,0.21739130434782608,1,0,rijetko
153,23,5.0,True,0.21739130434782608,1,0,rijetko
154,1209,261.0,True,0.21588089330024807,1,0,rijetko
155,135,29.0,True,0.2148148148148148,1,0,rijetko
156,475,102.0,True,0.2147368421052632,1,0,rijetko
157,84,18.0,True,0.21428571428571427,1,0,rijetko
158,28,6.0,True,0.21428571428571427,1,0,rijetko
159,14,3.0,True,0.21428571428571427,1,0,rijetko
160,14,3.0,True,0.21428571428571427,1,0,rijetko
161,14,3.0,True,0.21428571428571427,1,0,rijetko
162,14,3.0,True,0.21428571428571427,1,0,rijetko
163,2576,549.0,True,0.2131211180124224,1,0,rijetko
164,303,64.0,True,0.2112211221122112,1,0,rijetko
165,19,4.0,True,0.21052631578947367,1,0,rijetko
166,57,12.0,True,0.21052631578947367,1,0,rijetko
167,19,4.0,True,0.21052631578947367,1,0,rijetko
168,271,57.0,True,0.2103321033210332,1,0,rijetko
169,3084,648.0,True,0.21011673151750973,1,0,rijetko
170,506,106.0,True,0.20948616600790515,1,0,rijetko
171,43,9.0,True,0.20930232558139536,1,0,rijetko
172,91,19.0,True,0.2087912087912088,1,0,rijetko
173,896,187.0,True,0.20870535714285715,1,0,rijetko
174,2424,505.0,True,0.2083333333333333,1,0,rijetko
175,24,5.0,True,0.2083333333333333,1,0,rijetko
176,29,6.0,True,0.206896551724138,1,0,rijetko
177,97,20.0,True,0.20618556701030927,1,0,rijetko
178,163,33.0,True,0.20245398773006126,1,0,rijetko
179,864,173.0,True,0.20023148148148148,1,0,rijetko
180,10,2.0,True,0.2,1,0,rijetko
181,20,4.0,True,0.2,1,0,rijetko
182,15,3.0,True,0.2,1,0,rijetko
183,10,2.0,True,0.2,1,0,rijetko
184,10,2.0,True,0.2,1,0,rijetko
185,40,8.0,True,0.2,1,0,rijetko
187,10,2.0,True,0.2,1,0,rijetko
188,10,2.0,True,0.2,1,0,rijetko
189,35,7.0,True,0.2,1,0,rijetko
190,40,8.0,True,0.2,1,0,rijetko
191,310,62.0,True,0.2,1,0,rijetko
192,333,66.0,True,0.1981981981981982,1,0,rijetko
193,187,37.0,True,0.19786096256684493,1,0,rijetko
194,137,27.0,True,0.19708029197080293,1,0,rijetko
195,594,117.0,True,0.19696969696969696,1,0,rijetko
196,107,21.0,True,0.19626168224299065,1,0,rijetko
197,119,23.0,True,0.19327731092436976,1,0,rijetko
198,435,84.0,True,0.19310344827586207,1,0,rijetko
199,803,155.0,True,0.1930261519302615,1,0,rijetko
200,2619,505.0,True,0.1928216876670485,1,0,rijetko
201,421,81.0,True,0.1923990498812352,1,0,rijetko
202,2675,514.0,True,0.1921495327102804,1,0,rijetko
203,2744,525.0,True,0.1913265306122449,1,0,rijetko
204,210,40.0,True,0.19047619047619047,1,0,rijetko
205,21,4.0,True,0.19047619047619047,1,0,rijetko
206,42,8.0,True,0.19047619047619047,1,0,rijetko
207,142,27.0,True,0.19014084507042253,1,0,rijetko
208,2378,451.0,True,0.1896551724137931,1,0,rijetko
209,2494,473.0,True,0.1896551724137931,1,0,rijetko
210,323,61.0,True,0.18885448916408668,1,0,rijetko
211,32,6.0,True,0.1875,1,0,rijetko
213,556,104.0,True,0.18705035971223025,1,0,rijetko
214,102,19.0,True,0.1862745098039216,1,0,rijetko
215,27,5.0,True,0.1851851851851852,1,0,rijetko
216,38,7.0,True,0.18421052631578946,1,0,rijetko
217,38,7.0,True,0.18421052631578946,1,0,rijetko
218,38,7.0,True,0.18421052631578946,1,0,rijetko
219,2438,448.0,True,0.1837571780147662,1,0,rijetko
220,49,9.0,True,0.1836734693877551,1,0,rijetko
221,60,11.0,True,0.18333333333333326,1,0,rijetko
222,142,26.0,True,0.18309859154929573,1,0,rijetko
223,175,32.0,True,0.18285714285714288,1,0,rijetko
224,11,2.0,True,0.18181818181818185,1,0,rijetko
225,110,20.0,True,0.18181818181818185,1,0,rijetko
226,11,2.0,True,0.18181818181818185,1,0,rijetko
227,11,2.0,True,0.18181818181818185,1,0,rijetko
228,11,2.0,True,0.18181818181818185,1,0,rijetko
229,11,2.0,True,0.18181818181818185,1,0,rijetko
230,513,93.0,True,0.1812865497076024,1,0,rijetko
231,559,101.0,True,0.1806797853309481,1,0,rijetko
232,2245,403.0,True,0.17951002227171492,1,0,rijetko
233,318,57.0,True,0.1792452830188679,1,0,rijetko
234,2931,524.0,True,0.17877857386557489,1,0,rijetko
235,84,15.0,True,0.17857142857142858,1,0,rijetko
236,1787,317.0,True,0.17739227756015669,1,0,rijetko
237,835,147.0,True,0.17604790419161676,1,0,rijetko
238,23,4.0,True,0.17391304347826084,1,0,rijetko
239,1607,279.0,True,0.17361543248288736,1,0,rijetko
240,29,5.0,True,0.1724137931034483,1,0,rijetko
241,122,21.0,True,0.1721311475409836,1,0,rijetko
243,64,11.0,True,0.171875,1,0,rijetko
244,35,6.0,True,0.17142857142857146,1,0,rijetko
245,613,105.0,True,0.17128874388254486,1,0,rijetko
247,603,103.0,True,0.17081260364842454,1,0,rijetko
248,59,10.0,True,0.1694915254237288,1,0,rijetko
249,118,20.0,True,0.1694915254237288,1,0,rijetko
250,1688,286.0,True,0.16943127962085308,1,0,rijetko
251,1283,217.0,True,0.1691348402182385,1,0,rijetko
252,249,42.0,True,0.1686746987951807,1,0,rijetko
253,3132,528.0,True,0.1685823754789272,1,0,rijetko
254,321,54.0,True,0.16822429906542055,1,0,rijetko
255,274,46.0,True,0.1678832116788321,1,0,rijetko
256,12,2.0,True,0.16666666666666666,1,0,rijetko
257,6,1.0,True,0.16666666666666666,1,0,rijetko
259,6,1.0,True,0.16666666666666666,1,0,rijetko
260,6,1.0,True,0.16666666666666666,1,0,rijetko
261,24,4.0,True,0.16666666666666666,1,0,rijetko
